Path,Directory,File,Category,Function,Namespace,Types,FieldCount,MethodCount,Fields,Methods,EnumValues,Size
AbilityCard.cs,(root),AbilityCard.cs,界面/UI,UI 子组件/显示控件,Shepherd,class AbilityCard,4,2,iconImage:Image; nameText:TextMeshProUGUI; descText:TextMeshProUGUI; Data:AbilitySO,OnLanguageChange():void; SetData():void,,369
AbilitySO.cs,(root),AbilitySO.cs,配置数据,ScriptableObject 配置结构或资源数据定义,Shepherd,class AbilitySO,30,9,abilityType:AbilityType; aka:string; abilityName:string; color:Color; image:Sprite; priority:int; impactType:ImpactType; stackable:bool; descPriority:int; useTriggerDescTemplate:bool; desc:string; hasInstDesc:bool; replaceOrgDesc:bool; instColor:Color; instDesc:string; inlineDesc:bool; triggerType:AbilityTriggerType; customTriggerType:string; triggerParams:AbilityTriggerParams; effectType:AbilityEffectType; customEffectType:string; effectParams:AbilityEffectParams; hasSubAbility:bool; subAbilities:List<AbilitySO>; _blackboard:Blackboard; sortedSubAbilities:List<AbilitySO>; LocalAbilityName:string; LocalDesc:string; LocalInstDesc:string; Blackboard:Blackboard,OnDestroy():void; Clone():AbilitySO; GetTriggerParams():AbilityTriggerParams; GetFormatDesc():string; GetFormatDescForRaw():string; GetFormatDescWithSubAbility():string; GetFormatDescForRawWithSubAbility():string; ParseParams():object; ParseVar():object,,2289
AchievementForm.cs,(root),AchievementForm.cs,界面/UI,UGUI 窗口/界面逻辑,Shepherd,class AchievementForm,4,6,achievementGridView:LoopGridView; allAchievementIcon:GameObject; procedureMain:ProcedureMain; achievements:List<AchievementSO>,Awake():void; OnOpen():void; OnClose():void; Initialize():void; SelectFirstObject():void; OnGetItemByRowColumn():LoopGridViewItem,,735
AchievementIcon.cs,(root),AchievementIcon.cs,界面/UI,UI 子组件/显示控件,Shepherd,class AchievementIcon,5,1,icon:Image; lockedColor:Color; lockObj:GameObject; tip:RectTip; Data:AchievementSO,SetData():void,,339
AchievementInfo.cs,(root),AchievementInfo.cs,其他/辅助,游戏业务类，具体职责见字段和方法名,Shepherd,class AchievementInfo,6,2,icon:Image; lockedColor:Color; lockObj:GameObject; achievementName:TextMeshProUGUI; desc:TextMeshProUGUI; Data:AchievementSO,SetData():void; ShowTip():void,,459
AchievementSO.cs,(root),AchievementSO.cs,配置数据,ScriptableObject 配置结构或资源数据定义,Shepherd,class AchievementSO,8,1,id:string; achievementName:string; icon:Sprite; unlockEvent:CareerEventSO; disable:bool; _isAchieved:bool?; IsAchieved:bool; LocalAchievementName:string,GetDesc():string,,634
Actor.cs,(root),Actor.cs,其他/辅助,游戏业务类，具体职责见字段和方法名,Shepherd,class Actor,3,23,id:int; coords:MapCoords; Id:int,Contains():bool; TryAddEntity():bool; RemoveEntity():void; RemoveEntity():void; OnDayBefore():UniTask; OnDayStart():UniTask; OnDayUpdate():UniTask; OnDayLateUpdate():UniTask; OnDayEnd():UniTask; SetPosition():void; SetAttached():void; Initialize():void; GetPosition():Vector3; UpdatePosition():void; TryEnterToGrid():bool; TryAddToGrid():bool; RemoveFromGrid():void; GetImpactPosList():void; IsInGridPos():bool; IsInCell():bool; CanAddToCell():bool; Clear():void; Release():void,,2256
ActorEntityType.cs,(root),ActorEntityType.cs,其他/辅助,枚举或类型标识定义,Shepherd,struct ActorEntityType,4,2,None:ActorEntityType; animalType:AnimalType; stuffType:StuffType; operator:bool,Equals():bool; GetHashCode():int,,989
ActorHelper.cs,(root),ActorHelper.cs,其他/辅助,工具函数/扩展方法集合,Shepherd,class ActorHelper,0,4,,CreateActor():Actor; CreateBossActor():Actor; TryGetEmptyCoords():bool; TryGetEmptyAttachCoords():bool,,598
ActorType.cs,(root),ActorType.cs,其他/辅助,枚举或类型标识定义,Shepherd,enum ActorType,0,0,,,ActorType=Animal = 0|Stuff = 1|Boss = 2,99
AddAnimalEventArgs.cs,(root),AddAnimalEventArgs.cs,核心玩法/实体/地图,GameFramework 事件参数/事件数据载体,Shepherd,class AddAnimalEventArgs,3,2,EventId:int; Id:int; Animal:Animal,Clear():void; Create():AddAnimalEventArgs,,366
AddContributeEventArgs.cs,(root),AddContributeEventArgs.cs,事件参数,GameFramework 事件参数/事件数据载体,Shepherd,class AddContributeEventArgs,5,2,EventId:int; Id:int; Animal:Animal; Source:object; Money:BigInteger,Clear():void; Create():AddContributeEventArgs,,530
AddExpEventArgs.cs,(root),AddExpEventArgs.cs,事件参数,GameFramework 事件参数/事件数据载体,Shepherd,class AddExpEventArgs,4,2,EventId:int; Id:int; Animal:Animal; Exp:int,Clear():void; Create():AddExpEventArgs,,411
